ModelID,RangeName,VariableName,timestep,Order
1000501,CashHist,TOTALRETURN,10,1
1100601,CPIHist,RATE,10,2
1100701,AWEHist,RATE,10,3
1000101,AuEqHist,TOTALRETURN,10,4
1001501,IntEqHist,TOTALRETURN,10,5
1001601,IntEqUnHHist,TOTALRETURN,10,6
1002401,EmEqHist,TOTALRETURN,10,7
1000201,AuFiHist,TOTALRETURN,10,8
1000301,AuFiCorpHist,TOTALRETURN,10,9
1001801,IntFiHist,TOTALRETURN,10,10
1000401,AuPHist,TOTALRETURN,10,11
1002601,AuDPHist,TOTALRETURN,10,12
1002801,IntAltHist,TOTALRETURN,10,13
1002701,AuInfHist,TOTALRETURN,10,14
